ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12198.8	16492.4	12183.5	16421.4	512.98669	9126.36523	368.10464	1.19917	1.08645	332.10693	17052.13086	1240	2	3	1	831.6	831.6	1642.74574	8.47152	12198.8	16492.4	12397.6174124981	16606.5263030806
405/561	12203.9	16620.9	12186.9	16547.8	447.90268	3409.43872	352.21649	0.39185	1.21149	303.97498	7627.78125	1286	1	19	1	814.104	814.104	613.69897	13.82109	12203.9	16620.9	12401.2299432153	16732.8366436302
405/561	12258.1	16580.1	12238.2	16501.3	420.47784	13588.56055	376.89648	1.29357	1.1672	331.78333	16564.17188	1371	3	35	1	805.032	805.032	2445.9409	7.24028	12258.1	16580.1	12452.9227383278	16686.1709487814
405/561	12192.7	16587.7	12171.3	16505.5	499.87363	3337.5144	329.86899	0.6732	1.37223	394.55963	7929.13818	1419	1	7	1	803.736	803.736	600.75259	13.84252	12192.7	16587.7	12386.2445946923	16690.277368724
405/561	12242.6	16357.9	12220.7	16274.8	574.9101	3819.32202	329.04343	0.41197	1.21725	477.5296	6865.17383	1432	1	56	1	827.712	827.712	687.47796	13.15739	12242.6	16357.9	12435.7046860363	16459.5520227476
405/561	12226.5	16566.5	12202.4	16478.4	553.39587	14884.18164	372.06445	1.23035	1.13026	364.37646	21932.74609	1506	3	15	1	817.992	817.992	2679.1527	6.77531	12226.5	16566.5	12417.7467866429	16663.0077345723
405/561	12230.4	16566.8	12204.5	16477.2	827.45197	4782.98193	306.92908	1.2187	1.21963	638.7616	7905.88379	1639	1	8	1	838.728	838.728	860.93675	10.68612	12230.4	16566.8	12420.4618207713	16661.5483591753
405/561	12213.8	16565	12186.9	16474.4	423.17477	9656.80469	331.83521	0.07891	1.08048	319.85782	17981	1707	3	64	1	852.336	852.336	1738.22484	7.71624	12213.8	16565	12403.1763607779	16658.6157234826
405/561	12172.7	16599.3	12144.5	16498.4	829.38312	6962.40918	369.88116	1.29443	1.07051	385.73053	9293.0498	1881	1	94	1	834.84	834.84	1253.23365	8.92746	12172.7	16599.3	12361.5814723077	16682.2762640915
405/561	12176.9	16546.6	12147.8	16442.9	574.53735	24025.92773	376.5199	1.44674	1.1011	259.4989	37634.48828	1921	5	31	1	821.88	821.88	4324.66699	4.90591	12176.9	16546.6	12365.0666069971	16626.6982139043
