ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	17710	8836.3	17710	8836.3	325.66507	15305.08887	324.02655	0.92833	1.4057	603.66602	14944.2002	70	3	24	1	-24.912	-24.912	2754.916	6.27027	17710	8836.3	18203.1292468921	9109.91043275855
405/561	18059.8	8326.1	18059.8	8326.1	578.84637	3906.91162	331.66159	0.51711	1.32183	414.77817	5694.45801	76	1	295	1	-18.432	-18.432	703.24409	12.41266	18059.8	8326.1	18552.9251565488	8599.67428996509
405/561	17305.2	7817.2	17305	7817	444.46909	3692.85938	367.97696	0.97402	1.18162	491.33401	3979.48657	106	1	512	1	-19.08	-19.08	664.71469	16.70415	17305.2	7817.2	17798.1044896439	8090.393916424
405/561	18061.9	8119.3	18058.1	8115.5	618.23535	4523.7832	345.32977	0.16367	1.21044	543.84821	4979.35303	199	1	309	1	-8.712	-8.712	814.28098	12.95743	18061.9	8119.3	18551.1381034619	8388.33842673394
405/561	16905.2	8845.3	16899.6	8839.8	239.01959	4238.9541	323.15317	0.969	1.41215	332.79733	8114.16797	245	3	349	1	-24.912	-24.912	763.01174	15.59783	16905.2	8845.3	17392.6039421911	9112.36576468237
405/561	18100.3	8211.6	18092.7	8204.1	552.58551	17928.5293	312.00262	0.92487	1.14953	346.15338	25672.88086	296	5	17	1	19.8	19.8	3227.13527	5.05699	18100.3	8211.6	18585.6650173131	8476.36512721644
405/561	16354.8	7977.3	16347	7968.2	757.15918	4505.59131	311.41702	1.46986	1.47552	337.45221	3713.37207	314	1	11	1	-24.912	-24.912	811.00644	9.26019	16354.8	7977.3	16839.9510115693	8240.35944314017
405/561	17012.1	8560.3	17004.3	8550.4	226.08189	1992.09277	378.95001	1.42496	1.14137	288.44809	2724.92847	321	1	496	1	-18.432	-18.432	358.5767	24.8266	17012.1	8560.3	17497.2455268359	8822.51840398019
405/561	17686.9	8124.4	17679.3	8110.2	261.85724	1657.18298	321.15372	1.0595	1.42565	278.81076	2379.12256	356	1	518	1	-25.56	-25.56	298.29294	21.47711	17686.9	8124.4	18172.2177811402	8382.11371762765
405/561	16805.2	7875.1	16797.7	7860.1	188.44955	1429.21301	351.56934	0.18816	1.29449	246.78134	2768.3584	363	1	269	1	-28.152	-28.152	257.25834	27.50926	16805.2	7875.1	17290.6121672089	8131.97288285781
