ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	19471.8	21111	19410.7	20976.1	269.52066	4909.15234	375.1105	1.02282	1.28302	335.75891	8855.03418	61249	2	6	1	-471	-471	883.64742	15.1669	19471.8	21111	19365.1306260702	21002.5977217097
405/561	19181.3	21142.7	19120.2	21007.8	91.87034	779.29852	371.81277	0.6758	1.35005	245.25102	2456.98877	61755	1	7	1	-488	-488	140.27373	53.75021	19181.3	21142.7	19074.1629731476	21034.8140915016
405/561	19866.5	21117.7	19805.4	20982.8	370.45374	2935.76782	359.38	0.16538	1.51575	313.53137	3849.97437	61842	1	6	1	-485	-485	528.43821	16.48398	19866.5	21117.7	19759.2823346222	21009.9028230258
405/561	19050.4	21169.2	18989.4	21034.3	112.76743	822.96155	344.87204	1.15	1.7472	242.3423	-4838.96973	62236	1	30	1	-488	-488	148.13308	44.02679	19050.4	21169.2	18942.9162951542	21061.8044784565
405/561	19015.7	21207.5	18954.6	21072.6	109.81638	930.47784	371.60324	0.67941	1.34853	163.00548	1329.25684	63034	1	67	1	-485	-485	167.48601	37.96153	19015.7	21207.5	18907.3709167796	21100.9171717334
405/561	19489.2	21119.2	19428.1	20984.3	108.0977	908.57507	370.11118	0.70448	1.33772	262.98849	1712.94836	63146	1	56	1	-467	-467	163.54351	47.51357	19489.2	21119.2	19380.7659020868	21012.7311611899
405/561	19722.4	21563.5	19661.3	21428.6	325.40149	2633.71045	363.19034	0.19846	1.43531	354.37415	1760.24243	63176	1	6	1	-472	-472	474.06788	19.4084	19722.4	21563.5	19613.9377573102	21457.061691468
405/561	17508.3	21400.7	17447.2	21265.8	131.20139	1122.47058	373.40344	0.8424	1.31737	124.41071	1415.90149	63337	1	35	1	-480	-480	202.0447	28.92417	17508.3	21400.7	17399.6866013861	21294.4255194364
405/561	18765.2	21351.1	18704.1	21216.2	135.97678	1157.89026	372.53009	0.66331	1.35526	174.33461	3124.99341	63554	1	65	1	-496	-496	208.42025	32.08242	18765.2	21351.1	18656.3825773663	21245.0462869991
405/561	19510	21305.8	19448.9	21170.9	121.99448	914.39819	349.50842	0.78886	1.65439	320.62256	2807.77661	64339	1	0	1	-481	-481	164.59167	46.3307	19510	21305.8	19400.4419191888	21200.5445918288
405/561	19290.8	21335.4	19229.7	21200.4	92.03525	725.77094	358.49472	0.07835	1.48934	57.58398	3525.36084	64664	1	12	1	-467	-467	130.63877	29.614	19290.8	21335.4	19180.9341911683	21230.3750027173
405/561	19646.8	21328.1	19585.7	21193.2	270.93845	2035.00415	349.87054	0.87435	1.68147	455.5939	3363.8291	65343	1	5	1	-494	-494	366.30075	25.50625	19646.8	21328.1	19536.2894936078	21223.8652537647
